0;;;;;;;;;
12;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
13;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
14;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
15;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
16;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
17;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
18;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
19;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
8.621;;;;;;;;;
1;0.00390625;0;0.00390625;-0.0976563;-1;-0.0429688;-0.0625;0.449219;-0.0546875
2;0;-0.00390625;0;0.382813;-0.757813;-0.546875;-0.253906;0.226563;0.257813
3;0;0;0;0.179688;-0.933594;0.328125;-0.203125;0.371094;-0.203125
4;0.00390625;0;0;-0.0664063;0.996094;-0.15625;0.136719;-0.445313;0.136719
5;0;0;0;0.125;0.960938;0.167969;-0.160156;-0.40625;-0.179688
6;0;-0.00390625;0;-0.0390625;-0.984375;-0.242188;-0.0429688;0.410156;0.238281
7;0;0;0;0.03125;-0.863281;0.519531;-0.125;0.285156;-0.300781
8;0;-0.00390625;0;-0.578125;-0.808594;0.179688;0.347656;0.25;-0.03125
9;0;0;0;-0.265625;-0.304688;-0.929688;0.121094;0.253906;0.335938
10;0;-0.00390625;0.0078125;-0.59375;-0.773438;0.289063;0.210938;-0.1875;0.21875
11;0.00390625;0;0.00390625;-0.191406;0.949219;-0.148438;-0.0390625;-1.75391;-0.648438
12;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
13;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
14;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
15;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
16;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
17;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
18;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
19;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
8.657;;;;;;;;;
1;0.00390625;0;0;-0.0976563;-1;-0.0429688;-0.0625;0.449219;-0.0546875
2;0;0;0;0.382813;-0.757813;-0.546875;-0.253906;0.226563;0.257813
3;0;0;0.00390625;0.179688;-0.933594;0.328125;-0.203125;0.371094;-0.203125
4;0;-0.00390625;0;-0.0664063;0.996094;-0.15625;0.136719;-0.445313;0.136719
5;0;0;0;0.125;0.960938;0.167969;-0.160156;-0.40625;-0.179688
6;0;-0.00390625;0;-0.0390625;-0.984375;-0.242188;-0.0429688;0.410156;0.238281
7;0;0;0;0.03125;-0.863281;0.519531;-0.125;0.285156;-0.296875
8;0;0;0;-0.578125;-0.808594;0.179688;0.347656;0.25;-0.03125
9;0;0;0.00390625;-0.265625;-0.304688;-0.929688;0.121094;0.253906;0.335938
10;0;-0.00390625;0.0078125;-0.59375;-0.773438;0.289063;0.210938;-0.1875;0.21875
11;0;-0.00390625;0.0078125;-0.191406;0.949219;-0.148438;-0.0390625;-1.75391;-0.648438
12;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
13;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
14;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
15;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
16;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
17;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
18;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
19;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
8.663;;;;;;;;;
1;0;0;0;-0.0976563;-1;-0.0429688;-0.0625;0.449219;-0.0546875
2;0.00390625;0;0;0.382813;-0.757813;-0.546875;-0.253906;0.226563;0.257813
3;0;0;0.00390625;0.179688;-0.933594;0.328125;-0.203125;0.371094;-0.203125
4;0;0;0;-0.0664063;0.996094;-0.15625;0.136719;-0.445313;0.136719
5;0;0;0;0.125;0.960938;0.167969;-0.160156;-0.40625;-0.179688
6;0;0;0;-0.0390625;-0.984375;-0.242188;-0.0429688;0.410156;0.238281
7;0;0;0;0.03125;-0.863281;0.519531;-0.125;0.285156;-0.300781
8;0;-0.00390625;0;-0.578125;-0.808594;0.179688;0.347656;0.25;-0.03125
9;0;0;0;-0.265625;-0.304688;-0.929688;0.121094;0.253906;0.335938
10;0;-0.00390625;0.00390625;-0.59375;-0.773438;0.289063;0.210938;-0.1875;0.21875
11;0;0;0.00390625;-0.191406;0.949219;-0.148438;-0.0390625;-1.75391;-0.648438
12;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
13;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
14;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
15;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
16;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
17;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
18;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
19;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
8.752;;;;;;;;;
1;0.00390625;0;0.00390625;-0.0976563;-1;-0.0429688;-0.0625;0.445313;-0.0546875
2;0.00390625;0;0.00390625;0.382813;-0.757813;-0.546875;-0.253906;0.226563;0.257813
3;0;0;0.00390625;0.179688;-0.933594;0.328125;-0.199219;0.371094;-0.203125
4;0;0;0;-0.0664063;0.996094;-0.15625;0.136719;-0.445313;0.136719
5;0;0;0;0.125;0.960938;0.167969;-0.160156;-0.40625;-0.179688
6;0;0;0;-0.0390625;-0.984375;-0.242188;-0.0429688;0.410156;0.238281
7;0;0;0;0.03125;-0.863281;0.519531;-0.125;0.285156;-0.300781
8;0.00390625;0;0;-0.578125;-0.808594;0.179688;0.347656;0.25;-0.03125
9;0;0;0;-0.265625;-0.304688;-0.929688;0.121094;0.253906;0.335938
10;0;-0.00390625;0.00390625;-0.59375;-0.773438;0.289063;0.210938;-0.1875;0.21875
11;0.00390625;0;0.00390625;-0.191406;0.949219;-0.148438;-0.0390625;-1.75391;-0.648438
12;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
13;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
14;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
15;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
16;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
17;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
18;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
19;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
8.798;;;;;;;;;
1;0.00390625;0;0;-0.0976563;-1;-0.0429688;-0.0625;0.445313;-0.0546875
2;0;0;0;0.382813;-0.757813;-0.546875;-0.253906;0.226563;0.257813
3;0;0;0.00390625;0.179688;-0.933594;0.328125;-0.199219;0.371094;-0.203125
4;0;-0.00390625;0;-0.0664063;0.996094;-0.15625;0.136719;-0.445313;0.136719
5;0;0;0;0.125;0.960938;0.167969;-0.160156;-0.40625;-0.179688
6;0;-0.00390625;0;-0.0390625;-0.984375;-0.242188;-0.0429688;0.410156;0.238281
7;0.00390625;0;0;0.03125;-0.863281;0.519531;-0.125;0.285156;-0.296875
8;0;0;0;-0.578125;-0.808594;0.179688;0.347656;0.25;-0.03125
9;0;0;0;-0.265625;-0.304688;-0.929688;0.121094;0.253906;0.335938
10;0;-0.0078125;0.0078125;-0.59375;-0.773438;0.289063;0.210938;-0.1875;0.21875
11;0;0;0.0078125;-0.191406;0.949219;-0.148438;-0.0390625;-1.75391;-0.648438
12;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
13;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
14;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
15;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
16;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
17;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
18;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
19;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
8.81;;;;;;;;;
1;0;0;0.00390625;-0.0976563;-1;-0.0429688;-0.0625;0.445313;-0.0546875
2;0;0;0;0.382813;-0.757813;-0.546875;-0.257813;0.226563;0.257813
3;0;0;0.00390625;0.179688;-0.933594;0.328125;-0.199219;0.371094;-0.203125
4;0;0;0.00390625;-0.0664063;0.996094;-0.15625;0.136719;-0.445313;0.136719
5;0;0;0;0.125;0.960938;0.167969;-0.160156;-0.40625;-0.179688
6;0;-0.00390625;0;-0.0390625;-0.984375;-0.242188;-0.0429688;0.410156;0.234375
7;-0.00390625;-0.00390625;0;0.03125;-0.863281;0.519531;-0.125;0.285156;-0.296875
8;0.00390625;0;0;-0.578125;-0.808594;0.179688;0.347656;0.25;-0.03125
9;0;0;0;-0.265625;-0.304688;-0.929688;0.121094;0.253906;0.335938
10;0;-0.00390625;0.0078125;-0.59375;-0.773438;0.289063;0.210938;-0.1875;0.21875
11;0.00390625;0.00390625;0.0078125;-0.191406;0.949219;-0.148438;-0.0390625;-1.75391;-0.648438
12;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
13;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
14;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
15;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
16;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
17;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
18;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
19;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
8.818;;;;;;;;;
1;0.00390625;0;-0.00390625;-0.0976563;-1;-0.0429688;-0.0625;0.445313;-0.0546875
2;0;0;0;0.382813;-0.757813;-0.546875;-0.257813;0.226563;0.257813
3;0;-0.00390625;0;0.179688;-0.933594;0.328125;-0.199219;0.371094;-0.203125
4;0;0;0;-0.0664063;0.996094;-0.15625;0.136719;-0.445313;0.136719
5;0.00390625;0;0;0.125;0.960938;0.167969;-0.160156;-0.40625;-0.179688
6;0;-0.00390625;0;-0.0390625;-0.984375;-0.242188;-0.0429688;0.410156;0.234375
7;-0.00390625;0;0;0.03125;-0.863281;0.519531;-0.125;0.285156;-0.296875
8;0;0;0;-0.578125;-0.808594;0.179688;0.347656;0.25;-0.03125
9;0;0;0;-0.265625;-0.304688;-0.929688;0.121094;0.253906;0.335938
10;0;-0.00390625;0.0078125;-0.59375;-0.773438;0.289063;0.210938;-0.1875;0.21875
11;0;0;0.00390625;-0.191406;0.949219;-0.148438;-0.0390625;-1.75391;-0.648438
12;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
13;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
14;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
15;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
16;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
17;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
18;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
19;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
8.83;;;;;;;;;
1;0.00390625;0;-0.00390625;-0.0976563;-1;-0.0429688;-0.0625;0.445313;-0.0546875
2;0.0078125;-0.00390625;0;0.382813;-0.757813;-0.546875;-0.257813;0.226563;0.257813
3;0;0;0.00390625;0.179688;-0.933594;0.328125;-0.199219;0.371094;-0.203125
4;0;0;0;-0.0664063;0.996094;-0.15625;0.136719;-0.445313;0.136719
5;0;0;0;0.125;0.960938;0.167969;-0.160156;-0.40625;-0.179688
6;0;0;0;-0.0390625;-0.984375;-0.242188;-0.0429688;0.410156;0.234375
7;0;0;0.00390625;0.03125;-0.863281;0.519531;-0.125;0.285156;-0.296875
8;0;0;0;-0.578125;-0.808594;0.179688;0.347656;0.25;-0.03125
9;0;0;0.00390625;-0.265625;-0.304688;-0.929688;0.121094;0.253906;0.335938
10;0;0;0.0078125;-0.59375;-0.773438;0.289063;0.210938;-0.1875;0.21875
11;0;0;0.0078125;-0.191406;0.949219;-0.148438;-0.0390625;-1.75391;-0.648438
12;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
13;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
14;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
15;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
16;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
17;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
18;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
19;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
8.844;;;;;;;;;
1;0.015625;0;0.0078125;-0.0976563;-1;-0.0429688;-0.0625;0.445313;-0.0546875
2;0;0;0;0.382813;-0.757813;-0.546875;-0.257813;0.226563;0.257813
3;0;-0.00390625;0.0078125;0.179688;-0.933594;0.328125;-0.199219;0.371094;-0.203125
4;0;0;0;-0.0664063;0.996094;-0.15625;0.136719;-0.445313;0.136719
5;0;0;0;0.125;0.960938;0.167969;-0.160156;-0.40625;-0.179688
6;0;0;0;-0.0390625;-0.984375;-0.242188;-0.0429688;0.410156;0.238281
7;0;0;0;0.03125;-0.863281;0.519531;-0.125;0.285156;-0.296875
8;0;0;0;-0.578125;-0.808594;0.179688;0.347656;0.25;-0.03125
9;0;0;0.00390625;-0.265625;-0.304688;-0.929688;0.121094;0.253906;0.335938
10;0;-0.00390625;0.00390625;-0.59375;-0.773438;0.289063;0.210938;-0.1875;0.21875
11;0.00390625;-0.00390625;0.00390625;-0.191406;0.949219;-0.148438;-0.0390625;-1.75391;-0.648438
12;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
13;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
14;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
15;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
16;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
17;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
18;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
19;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
8.891;;;;;;;;;
1;0.00390625;0;0;-0.0976563;-1;-0.0429688;-0.0625;0.445313;-0.0546875
2;0;0;0;0.382813;-0.757813;-0.546875;-0.257813;0.226563;0.257813
3;0;0;0.00390625;0.179688;-0.933594;0.328125;-0.199219;0.371094;-0.203125
4;0;0;0;-0.0664063;0.996094;-0.15625;0.136719;-0.445313;0.136719
5;0;0;0;0.125;0.960938;0.167969;-0.160156;-0.40625;-0.179688
6;0;-0.00390625;-0.00390625;-0.0390625;-0.984375;-0.242188;-0.0429688;0.410156;0.238281
7;0;-0.00390625;0;0.03125;-0.863281;0.519531;-0.125;0.285156;-0.296875
8;0;-0.00390625;0;-0.578125;-0.808594;0.179688;0.347656;0.25;-0.03125
9;0.00390625;0;0;-0.265625;-0.304688;-0.929688;0.121094;0.253906;0.335938
10;-0.00390625;0;0.0078125;-0.59375;-0.773438;0.289063;0.214844;-0.1875;0.21875
11;0;0;0.00390625;-0.191406;0.949219;-0.148438;-0.0390625;-1.75391;-0.648438
12;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
13;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
14;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
15;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
16;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
17;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
18;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
19;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
8.919;;;;;;;;;
1;0.00390625;-0.00390625;0;-0.0976563;-1;-0.0429688;-0.0625;0.445313;-0.0546875
2;0;0;0;0.382813;-0.757813;-0.546875;-0.257813;0.226563;0.257813
3;0;0;0.00390625;0.179688;-0.933594;0.328125;-0.199219;0.371094;-0.203125
4;0;0;0.00390625;-0.0664063;0.996094;-0.15625;0.136719;-0.445313;0.136719
5;0;0;0;0.125;0.960938;0.167969;-0.160156;-0.40625;-0.179688
6;0;-0.00390625;0;-0.0390625;-0.984375;-0.242188;-0.0429688;0.410156;0.238281
7;-0.00390625;0;0.00390625;0.03125;-0.863281;0.519531;-0.125;0.285156;-0.296875
8;0;0;0;-0.578125;-0.808594;0.179688;0.347656;0.25;-0.03125
9;0;0;0;-0.265625;-0.304688;-0.929688;0.121094;0.253906;0.335938
10;0;-0.0078125;0.00390625;-0.59375;-0.773438;0.289063;0.214844;-0.1875;0.21875
11;0;0;0.00390625;-0.191406;0.949219;-0.148438;-0.0390625;-1.75391;-0.648438
12;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
13;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
14;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
15;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
16;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
17;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
18;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
19;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08;-1.07374e+08
8.959;;;;;;;;;
1;0.00390625;0;0;-0.0976563;-1;-0.0429688;-0.0625;0.445313;-0.0546875
2;0;0;0;0.382813;-0.757813;-0.546875;-0.257813;0.226563;0.257813
3;0;0;0.00390625;0.179688;-0.933594;0.328125;-0.199219;0.371094;-0.203125
4;0;0;0;-0.0664063;0.996094;-0.15625;0.136719;-0.445313;0.136719
5;0;0;0;0.125;0.960938;0.167969;-0.160156;-0.40625;-0.179688
6;0;0;-0.00390625;-0.0390625;-0.984375;-0.242188;-0.0429688;0.410156;0.238281
7;0;-0.00390625;0;0.03125;-0.863281;0.519531;-0.125;0.285156;-0.296875
8;0;-0.0078125;0;-0.578125;-0.808594;0.179688;0.351563;0.25;-0.0273438
